*Lisp	C*
Lisp_(programming_language)	CLU_(programming_language)
Lisp_(programming_language)	COWSEL
Lisp_(programming_language)	Dylan_(programming_language)
Lisp_(programming_language)	Elixir_(programming_language)
Lisp_(programming_language)	Forth_(programming_language)
Lisp_(programming_language)	Haskell
Lisp_(programming_language)	Nim_(programming_language)
Lisp_(programming_language)	Ioke_(programming_language)
Lisp_(programming_language)	JavaScript
Lisp_(programming_language)	Julia_(programming_language)
Lisp_(programming_language)	Logo_(programming_language)
Lisp_(programming_language)	Lua_(programming_language)
Lisp_(programming_language)	Io_(programming_language)
Lisp_Machine_Lisp	Common_Lisp
Logo_(programming_language)	Smalltalk
Logo_(programming_language)	Scratch_(programming_language)
Logo_(programming_language)	Rebol
Logo_(programming_language)	NetLogo
Logo_(programming_language)	Etoys_(programming_language)
Logo_(programming_language)	Boxer_(programming_environment)
Logo_(programming_language)	AgentSheets
Logo_(programming_language)	Microsoft_Small_Basic
Lua_(programming_language)	Ring_(programming_language)
Lua_(programming_language)	Squirrel_(programming_language)
Lua_(programming_language)	Ruby_(programming_language)
Lua_(programming_language)	Red_(programming_language)
Lua_(programming_language)	GameMonkey_Script
Lua_(programming_language)	JavaScript
Lua_(programming_language)	Io_(programming_language)
Lua_(programming_language)	C--
Lua_(programming_language)	Julia_(programming_language)
Lucid_(programming_language)	Lustre_(programming_language)
Lucid_(programming_language)	Pure_Data
Lucid_(programming_language)	SISAL
MATH-MATIC	UNICODE_(programming_language)
MATLAB	Scilab
MATLAB	Julia_(programming_language)
MATLAB	GNU_Octave
MATLAB	INTLAB
ML_(programming_language)	Kotlin_(programming_language)
ML_(programming_language)	Standard_ML
ML_(programming_language)	Scala_(programming_language)
ML_(programming_language)	Rust_(programming_language)
ML_(programming_language)	Opa_(programming_language)
ML_(programming_language)	OCaml
ML_(programming_language)	Nemerle
ML_(programming_language)	Miranda_(programming_language)
ML_(programming_language)	Idris_(programming_language)
ML_(programming_language)	Elm_(programming_language)
ML_(programming_language)	F_Sharp_(programming_language)
ML_(programming_language)	C++
ML_(programming_language)	Clojure
ML_(programming_language)	Coq
ML_(programming_language)	Haskell
ML_(programming_language)	Erlang_(programming_language)
ML_(programming_language)	F*_(programming_language)
ML_(programming_language)	Cyclone_(programming_language)
MSX_BASIC	Vilnius_BASIC
MUMPS	Caché_ObjectScript
MUMPS	GT.M
MUMPS	Profile_Scripting_Language
Maclisp	Common_Lisp
Mesa_(programming_language)	PostScript
Mesa_(programming_language)	Java_(programming_language)
Mesa_(programming_language)	Mesa_(programming_language)
Mesa_(programming_language)	Modula-2
Miranda_(programming_language)	Orwell_(programming_language)
Miranda_(programming_language)	Microsoft_Power_Fx
Miranda_(programming_language)	Clean_(programming_language)
Miranda_(programming_language)	Haskell
Modula	Alma-0
Modula	Go_(programming_language)
Modula	Modula-2
Modula-2	Zonnon
Modula-2	Seed7
Modula-2	Modula-3
Modula-2	Oberon_(programming_language)
Modula-2	Fortran
Modula-2	Ada_(programming_language)
Modula-2	Lua_(programming_language)
Modula-2+	Modula-3
Modula-3	Rust_(programming_language)
Modula-3	C_Sharp_(programming_language)
Modula-3	Java_(programming_language)
Modula-3	Nim_(programming_language)
Modula-3	OCaml
Modula-3	Python_(programming_language)
Newsqueak	Rust_(programming_language)
Newsqueak	Limbo_(programming_language)
Newsqueak	Go_(programming_language)
Newsqueak	Alef_(programming_language)
NewtonScript	Io_(programming_language)
OCaml	Rust_(programming_language)
OCaml	Opa_(programming_language)
OCaml	Haxe
OCaml	F_Sharp_(programming_language)
OCaml	Scala_(programming_language)
OCaml	Elm_(programming_language)
OCaml	Coq
OCaml	ATS_(programming_language)
OCaml	F*_(programming_language)
Oaklisp	Dylan_(programming_language)
Oaklisp	EuLisp
Oaklisp	Java_(programming_language)
Oberon-2	Active_Oberon
Oberon-2	Component_Pascal
Oberon-2	Go_(programming_language)
Oberon-2	Nim_(programming_language)
Oberon-2	Oberon_(programming_language)
Oberon-2	Zonnon
Oberon_(programming_language)	Oberon_(programming_language)
Oberon_(programming_language)	Zonnon
Oberon_(programming_language)	Oberon-2
Oberon_(programming_language)	Component_Pascal
Oberon_(programming_language)	Go_(programming_language)
Oberon_(programming_language)	Active_Oberon
Oberon_(programming_language)	Nim_(programming_language)
Object_Oberon	Oberon-2
Object_Pascal	C/AL
Object_Pascal	C_Sharp_(programming_language)
Object_Pascal	Genie_(programming_language)
Object_Pascal	Java_(programming_language)
Object_Pascal	Nim_(programming_language)
Object_REXX	NetRexx
Objective-C	TOM_(object-oriented_programming_language)
Objective-C	Swift_(programming_language)
Objective-C	Objective-J
Objective-C	Apache_Groovy
Objective-C	Java_(programming_language)
Objective-C	Nu_(programming_language)
Occam_(programming_language)	Ease_(programming_language)
Occam_(programming_language)	Go_(programming_language)
Occam_(programming_language)	Python_(programming_language)
Orwell_(programming_language)	Haskell
Oz_(programming_language)	Scala_(programming_language)
Oz_(programming_language)	Alice_(programming_language)
PHP	Active_Server_Pages
PHP	Hack_(programming_language)
PHP	Jakarta_Server_Pages
PL/I	Control_Language
PL/I	IBM_PL/S
PL/I	PL-6
PL/I	PL/8
PL/I	PL/M
PL/I	Rexx
PLEX_(programming_language)	Erlang_(programming_language)
ParaSail_(programming_language)	Nim_(programming_language)
Pascal_(programming_language)	VHDL
